query,intent,entity
Where is the library?,find_location,Main Library
How do I get to the main library?,find_location,Main Library
Can you show me where the library is?,find_location,Main Library
I need to find a place to study with books,find_location,Main Library
Where are the books and study desks?,find_location,Main Library
What time does the library open?,ask_hours,Main Library
Is the library open on Sunday?,ask_hours,Main Library
When does the library close on Saturday?,ask_hours,Main Library
What are the library opening hours?,ask_hours,Main Library
Is the library open late on weekdays?,ask_hours,Main Library
What events are at the library?,find_event,Main Library
Are there any workshops at the library?,find_event,Main Library
Where is the cafeteria?,find_location,Main Cafeteria
Where can I get food on campus?,find_location,Main Cafeteria
Where do students eat?,find_location,Main Cafeteria
I am hungry — where is the dining area?,find_location,Main Cafeteria
Where is the canteen?,find_location,Main Cafeteria
Is the cafeteria open on Sunday?,ask_hours,Main Cafeteria
What time does the cafeteria close?,ask_hours,Main Cafeteria
Is the cafeteria open on weekends?,ask_hours,Main Cafeteria
What are the cafeteria hours?,ask_hours,Main Cafeteria
What events are at the cafeteria?,find_event,Main Cafeteria
Where is the coffee shop?,find_location,Campus Coffee Shop
Where can I get a coffee?,find_location,Campus Coffee Shop
Is there a cafe on campus?,find_location,Campus Coffee Shop
Where can I get a hot drink?,find_location,Campus Coffee Shop
Is the coffee shop open on Sunday?,ask_hours,Campus Coffee Shop
What time does the coffee shop open?,ask_hours,Campus Coffee Shop
When does the cafe close?,ask_hours,Campus Coffee Shop
Where is the student union?,find_location,Student Union
Where is the student union located?,find_location,Student Union
I need to find the student union building,find_location,Student Union
Where do students socialise on campus?,find_location,Student Union
Where is the SU?,find_location,Student Union
Is the student union open on weekends?,ask_hours,Student Union
What time does the student union open?,ask_hours,Student Union
Are there any events at the student union?,find_event,Student Union
What is on at the student union tonight?,find_event,Student Union
What events are at the student union?,find_event,Student Union
Where is the gym?,find_location,Sports & Fitness Centre
Where is the sports centre?,find_location,Sports & Fitness Centre
Where can I exercise on campus?,find_location,Sports & Fitness Centre
Where is the fitness centre?,find_location,Sports & Fitness Centre
I want to go for a run — where is sports?,find_location,Sports & Fitness Centre
Is the gym open on Sunday?,ask_hours,Sports & Fitness Centre
Is the gym open on weekends?,ask_hours,Sports & Fitness Centre
What time does the gym open?,ask_hours,Sports & Fitness Centre
When does the fitness centre close?,ask_hours,Sports & Fitness Centre
Are there sports events this week?,find_event,Sports & Fitness Centre
What fitness events are on?,find_event,Sports & Fitness Centre
Where is the IT lab?,find_location,IT & Computer Lab
Where can I use a computer?,find_location,IT & Computer Lab
Where is the computer room?,find_location,IT & Computer Lab
Where can I print and use a PC?,find_location,IT & Computer Lab
Is the IT lab open on Saturday?,ask_hours,IT & Computer Lab
When does the computer lab close?,ask_hours,IT & Computer Lab
Where is the printing room?,find_location,Printing & Stationery Centre
Where can I print documents?,find_location,Printing & Stationery Centre
Where can I photocopy something?,find_location,Printing & Stationery Centre
Where is the print centre?,find_location,Printing & Stationery Centre
Is the printing room open on Saturday?,ask_hours,Printing & Stationery Centre
What time does the printing centre close?,ask_hours,Printing & Stationery Centre
Where is the admissions office?,find_location,Admissions & Registry Office
Where do I go for student registration?,find_location,Admissions & Registry Office
Where is the registry?,find_location,Admissions & Registry Office
Where do I submit my dissertation?,find_location,Admissions & Registry Office
Where can I get my student ID card?,find_location,Admissions & Registry Office
Is the admissions office open Saturday?,ask_hours,Admissions & Registry Office
What time does the registry open?,ask_hours,Admissions & Registry Office
Where is the career centre?,find_location,Career Services Centre
Where can I get career advice?,find_location,Career Services Centre
Where do I go for CV help?,find_location,Career Services Centre
Where can I find job listings on campus?,find_location,Career Services Centre
Where is careers and employability?,find_location,Career Services Centre
What time does the career centre open?,ask_hours,Career Services Centre
Is the career centre open on Saturday?,ask_hours,Career Services Centre
Are there career fairs this week?,find_event,Career Services Centre
What career events are coming up?,find_event,Career Services Centre
Where is the medical centre?,find_location,Medical & Counselling Centre
Where can I see a doctor on campus?,find_location,Medical & Counselling Centre
Where is the health centre?,find_location,Medical & Counselling Centre
Where do I go if I feel unwell?,find_location,Medical & Counselling Centre
Is the medical centre open today?,ask_hours,Medical & Counselling Centre
What time does the health centre open?,ask_hours,Medical & Counselling Centre
Where is the auditorium?,find_location,Main Auditorium
Where is the main hall?,find_location,Main Auditorium
Where are graduation ceremonies held?,find_location,Main Auditorium
Is there anything on at the auditorium?,find_event,Main Auditorium
What events are in the auditorium?,find_event,Main Auditorium
Where is the research lab?,find_location,Research & Innovation Lab
Where is the innovation centre?,find_location,Research & Innovation Lab
Is there a hackathon coming up?,find_event,Research & Innovation Lab
What research events are on?,find_event,Research & Innovation Lab
Are there any innovation events this week?,find_event,Research & Innovation Lab
Where is the security office?,find_location,Campus Security Office
Where do I report a lost item?,find_location,Campus Security Office
Where can I find campus security?,find_location,Campus Security Office
What time does security open?,ask_hours,Campus Security Office
Where is the campus garden?,find_location,Campus Garden & Outdoor Study Area
Where can I study outside?,find_location,Campus Garden & Outdoor Study Area
Where are the outdoor benches?,find_location,Campus Garden & Outdoor Study Area
Where is the accommodation office?,find_location,Student Accommodation Office
